submarket_code,distance_to_cloud_az_km,available_uncommitted_power_mw,shortest_rfs_months,max_single_site_mw,land_available_ha,renewable_energy_accessible_pct,power_cost_usd_mwh,hyperscaler_active_count,campus_ready,aws_ai_interest,azure_ai_interest,google_ai_interest,oracle_ai_interest,meta_ai_interest
SYD-MQP,2,45,36,120,3,35,85,4,0,1,1,1,1,0
SYD-ECK,42,180,24,400,85,38,78,2,1,1,1,0,0,1
SYD-MRL,185,0,48,200,400,90,65,0,0,0,0,0,0,0
MEL-DOC,2,30,42,80,2,40,90,4,0,1,1,1,1,0
MEL-GEL,78,400,28,600,250,85,62,0,1,1,1,1,0,1
MEL-MRB,82,600,22,800,320,88,58,0,1,1,1,1,1,1
MEL-TUL,24,80,30,200,25,38,88,1,0,0,1,0,0,0
SG-JRG,1,25,48,60,1,40,145,4,0,1,1,1,1,1
SG-WDL,28,60,36,120,8,38,138,1,0,0,0,1,0,0
JHR-ISK,32,420,18,500,180,35,65,4,1,1,1,1,1,1
JHR-KUL,52,650,20,800,320,32,60,1,1,1,1,1,1,1
KUL-CYB,3,120,30,250,35,25,72,4,1,1,1,1,1,0
KUL-SAH,38,200,26,350,120,28,68,0,1,0,0,0,0,1
TYO-OTA,2,80,40,200,5,22,110,4,0,1,1,1,1,0
TYO-KWS,22,120,32,300,15,24,105,3,0,1,1,1,0,0
TYO-SGM,44,180,26,400,45,28,95,1,1,0,0,1,0,1
TYO-ATG,62,220,30,500,120,30,88,0,1,0,0,0,0,1
HK-TKO,4,40,44,120,4,10,180,4,0,1,1,1,1,0
HK-TUM,42,60,36,150,18,12,165,0,0,0,0,0,0,0
SEO-SNG,3,90,38,200,6,30,108,4,0,1,1,1,1,0
SEO-PGY,26,120,28,300,20,32,102,2,0,1,1,0,0,0
SEO-ICN,52,250,24,500,85,35,95,1,1,0,0,1,0,1
OSA-IBR,15,110,30,300,18,22,105,4,1,1,1,1,1,0
OSA-SKI,28,140,24,350,55,28,98,0,1,0,0,0,0,1
TWN-NHU,4,70,36,180,8,20,120,3,0,1,1,1,0,0
TWN-TYN,35,130,28,300,40,22,112,2,1,0,1,0,1,0
MUM-NAV,3,95,38,250,12,28,72,4,0,1,1,1,1,0
MUM-TAL,36,160,28,350,65,30,68,1,1,1,0,0,0,1
MUM-PUN,165,200,32,400,150,32,58,0,0,0,0,0,0,1
DEL-NOI,4,110,35,280,20,30,65,4,0,1,1,1,1,0
DEL-GGN,32,140,26,350,55,32,60,2,1,0,1,1,0,1
HYD-HTC,2,85,32,220,15,32,55,4,1,1,1,1,1,1
HYD-GNM,26,180,24,400,80,35,48,0,1,1,0,0,0,1
JKT-CBN,38,130,32,300,35,18,62,3,0,1,1,1,0,0
JKT-BKS,28,170,28,350,65,20,58,1,0,0,0,0,1,0
JKT-BTN,105,300,36,600,250,22,45,0,1,0,0,0,0,1
MNL-BGC,3,75,38,200,8,25,85,3,0,1,1,1,0,0
MNL-ALB,26,100,30,250,30,25,80,0,0,0,0,0,0,0
MNL-CLK,102,75,28,300,180,28,72,1,1,0,0,0,1,0
BKK-NON,16,90,34,220,12,15,82,3,0,1,1,1,0,0
BKK-EEC,98,350,22,700,320,28,55,2,1,1,0,1,0,1
HCM-TD7,5,80,32,200,10,18,62,3,0,1,1,1,0,0
HCM-BDG,32,130,26,300,65,20,55,0,1,0,0,0,0,1
HCM-LAN,52,80,38,200,180,22,48,0,0,0,0,0,0,0
AKL-ALB,18,45,34,120,15,90,108,2,0,1,1,0,0,0
AKL-STA,22,55,30,150,28,92,102,0,0,0,0,0,0,0
