submarket_code,fibre_distance_to_az_km,carrier_diversity_score,existing_dc_operators_count,available_power_mw,power_committed_pct,colo_pricing_usd_kw,latency_to_cbd_ms,submarket_maturity,aws_present,azure_present,google_present,oracle_present
SYD-MQP,2,5,8,45,92,310,1.2,established,1,1,1,1
SYD-ECK,42,3,2,180,35,195,4.8,emerging,1,1,0,0
SYD-MRL,185,1,0,0,0,0,0.0,greenfield,0,0,0,0
MEL-DOC,2,5,7,30,95,280,1.0,established,1,1,1,1
MEL-GEL,78,1,1,0,0,0,0.0,greenfield,0,0,0,0
MEL-MRB,82,1,1,0,0,0,0.0,greenfield,0,0,0,0
MEL-TUL,24,3,2,80,50,210,2.5,emerging,0,1,0,0
SG-JRG,1,5,12,25,98,380,0.8,established,1,1,1,1
SG-WDL,28,3,3,60,60,310,3.2,established,0,0,1,0
JHR-ISK,32,4,6,420,25,120,3.8,emerging,1,1,1,1
JHR-KUL,52,3,2,650,10,105,6.2,emerging,0,1,0,0
KUL-CYB,3,4,7,120,70,140,0.9,established,1,1,1,1
KUL-SAH,38,2,2,200,20,115,4.5,emerging,0,0,0,0
TYO-OTA,2,5,10,80,88,320,1.1,established,1,1,1,1
TYO-KWS,22,4,6,120,62,285,2.8,established,1,1,1,0
TYO-SGM,44,2,2,180,30,220,5.2,emerging,0,0,1,0
TYO-ATG,62,1,0,220,5,0,7.5,greenfield,0,0,0,0
HK-TKO,4,5,9,40,90,350,0.9,established,1,1,1,1
HK-TUM,42,2,2,60,45,240,5.0,emerging,0,0,0,0
SEO-SNG,3,4,7,90,80,230,1.0,established,1,1,1,1
SEO-PGY,26,3,4,120,55,195,3.0,established,1,1,0,0
SEO-ICN,52,3,3,250,20,175,6.2,emerging,0,0,1,0
OSA-IBR,15,4,6,110,65,290,1.8,established,1,1,1,1
OSA-SKI,28,2,1,140,15,210,3.5,emerging,0,0,0,0
TWN-NHU,4,4,6,70,78,250,0.8,established,1,1,1,0
TWN-TYN,35,3,3,130,40,200,4.2,established,0,1,0,1
MUM-NAV,3,4,8,95,82,130,1.0,established,1,1,1,1
MUM-TAL,36,3,2,160,30,105,4.5,emerging,1,0,0,0
MUM-PUN,165,1,2,200,25,90,18.0,established,0,0,0,0
DEL-NOI,4,4,7,110,75,115,1.2,established,1,1,1,1
DEL-GGN,32,3,3,140,45,100,3.8,emerging,0,1,1,0
HYD-HTC,2,4,6,85,70,100,0.8,established,1,1,1,1
HYD-GNM,26,2,1,180,20,80,3.2,emerging,0,0,0,0
JKT-CBN,38,3,4,130,68,125,4.5,established,1,1,1,0
JKT-BKS,28,3,3,170,40,110,3.2,emerging,0,0,0,1
JKT-BTN,105,1,0,300,5,0,12.0,greenfield,0,0,0,0
MNL-BGC,3,3,5,75,80,145,0.8,established,1,1,1,0
MNL-ALB,26,2,2,100,45,120,3.2,emerging,0,0,0,0
MNL-CLK,102,2,1,75,15,90,12.5,emerging,0,0,0,1
BKK-NON,16,3,4,90,72,130,1.8,established,1,1,1,0
BKK-EEC,98,2,2,350,12,95,12.0,emerging,1,0,1,0
HCM-TD7,5,3,5,80,70,120,0.9,established,1,1,1,0
HCM-BDG,32,2,2,130,30,95,4.0,emerging,0,0,0,0
HCM-LAN,52,1,0,80,5,0,6.5,greenfield,0,0,0,0
AKL-ALB,18,3,3,45,65,220,2.2,established,1,1,0,0
AKL-STA,22,2,2,55,40,190,2.8,emerging,0,0,0,0
