market_code,hyperscaler_activity,cloud_adoption_growth_pct,ai_workload_index,enterprise_demand_index,dc_absorption_mw,announced_projects,hyperscaler_names
SG,9,28,8.5,8.5,180,12,"AWS,Azure,GCP,Alibaba,Tencent"
HK,7,18,7.0,7.0,85,6,"AWS,Azure,GCP,Alibaba"
TYO,8,22,8.0,8.5,320,14,"AWS,Azure,GCP,Equinix"
SYD,8,25,7.5,8.0,160,10,"AWS,Azure,GCP,Oracle"
SEO,7,25,7.5,7.5,140,9,"AWS,Azure,GCP,Naver"
OSA,6,18,6.5,7.0,80,5,"AWS,Azure,Google"
MEL,6,22,6.5,7.0,90,7,"AWS,Azure,Oracle"
KUL,7,35,7.0,7.5,120,11,"AWS,Azure,GCP,Alibaba"
MUM,7,48,7.0,7.5,100,13,"AWS,Azure,GCP,Oracle"
DEL,6,52,6.5,7.0,85,12,"AWS,Azure,GCP"
TWN,6,20,7.0,6.5,60,5,"AWS,Azure"
JKT,6,42,6.0,6.5,65,9,"AWS,Azure,GCP,Alibaba"
MNL,5,40,5.5,6.0,45,6,"AWS,Azure"
HYD,6,50,6.0,6.5,70,10,"AWS,Azure,GCP"
BKK,5,38,5.0,5.5,35,5,"AWS,Azure"
HCM,4,45,4.5,5.0,25,4,"AWS"
AKL,4,18,4.5,5.0,25,3,"AWS,Azure"
