market_code,power_availability_score,land_availability_score,regulatory_simplicity_score,data_sovereignty_score,political_stability_score,fx_stability_score,incentives_score,skilled_workforce_score,renewable_energy_pct,grid_reliability_pct,avg_permitting_months
SG,9.0,4.0,9.0,9.0,9.5,9.5,8.0,9.0,40,99.9,12
HK,7.0,3.0,7.0,6.0,6.0,8.5,6.0,8.5,10,99.8,18
TYO,8.0,5.0,7.5,8.0,9.0,7.5,7.0,9.0,22,99.9,24
SYD,8.5,7.0,8.5,9.0,9.5,8.0,7.0,8.5,35,99.8,18
SEO,8.5,5.5,7.0,7.5,8.5,7.5,7.5,9.0,30,99.9,20
OSA,8.0,6.0,7.5,8.0,9.0,7.5,7.5,8.5,22,99.9,22
MEL,8.5,7.5,8.5,9.0,9.5,7.5,6.5,8.0,45,99.7,16
KUL,8.0,8.0,7.5,7.5,8.0,7.0,8.5,7.5,25,99.5,14
MUM,7.0,6.0,6.0,7.0,8.0,7.0,7.5,8.5,28,98.5,30
DEL,7.0,7.0,6.0,7.0,8.0,7.0,8.0,8.5,30,98.2,28
TWN,7.5,5.0,7.5,7.5,7.5,8.0,7.0,8.5,20,99.8,22
JKT,6.5,7.5,6.0,7.0,7.5,7.0,7.0,7.0,18,98.0,24
MNL,6.0,6.5,5.5,6.5,6.5,6.5,6.0,7.0,25,97.0,30
HYD,7.5,7.5,6.5,7.0,8.0,7.0,8.5,9.0,32,98.5,26
BKK,7.5,7.0,6.5,7.0,7.0,7.5,7.5,6.5,15,99.0,20
HCM,7.0,7.0,6.0,6.5,8.0,6.5,7.0,6.5,18,98.5,24
AKL,8.5,8.0,9.0,9.0,9.5,7.5,5.5,7.5,90,99.9,14
