market_code,total_commissioned_mw,pipeline_mw,vacancy_rate_pct,operator_hhi,colo_pricing_usd_kw,num_operators,largest_operator_share_pct,pre_committed_pipeline_pct
SG,1200,400,2.5,1800,280,22,18,75
HK,450,80,3.0,2200,260,14,28,70
TYO,1800,600,3.5,1400,320,18,16,68
SYD,650,300,4.0,1600,220,12,22,60
SEO,520,280,4.0,1600,200,10,24,55
OSA,280,120,5.0,1800,280,8,26,50
MEL,320,150,4.5,1700,200,9,24,52
KUL,380,350,5.5,1400,120,11,20,40
MUM,280,320,6.0,1500,110,9,22,38
DEL,220,280,7.0,1600,100,7,25,35
TWN,180,100,5.5,2000,190,6,30,48
JKT,180,120,7.0,1800,130,8,23,35
MNL,120,80,6.0,2000,140,6,28,40
HYD,160,200,8.0,1700,90,6,25,30
BKK,80,60,8.0,2100,110,5,32,35
HCM,50,40,9.0,2400,100,4,38,28
AKL,60,30,8.5,2200,200,4,35,42
